дата;открытие;закрытие;мин;макс
27/09/18;114280;114580;114200;114710
27/09/18;114580;114570;114520;114730
27/09/18;114570;114730;114560;114750
27/09/18;114720;114670;114620;114790
27/09/18;114690;114740;114650;114790
27/09/18;114750;114740;114730;114830
27/09/18;114750;114710;114690;114790
27/09/18;114710;114750;114670;114750
27/09/18;114750;114680;114680;114760
27/09/18;114700;114700;114660;114710
27/09/18;114700;114650;114630;114710
27/09/18;114650;114660;114620;114700
27/09/18;114670;114760;114650;114770
27/09/18;114760;114850;114730;114890
27/09/18;114850;114910;114830;114920
27/09/18;114910;114970;114890;114990
27/09/18;114960;114950;114920;114980
27/09/18;114950;114800;114750;114970
27/09/18;114790;114690;114660;114800
27/09/18;114670;114630;114620;114740
27/09/18;114630;114680;114620;114720
27/09/18;114670;114780;114670;114800
27/09/18;114780;114890;114770;114910
27/09/18;114880;114790;114770;114930
27/09/18;114790;114780;114760;114820
27/09/18;114780;114740;114730;114870
27/09/18;114750;114960;114720;114980
27/09/18;114970;114950;114880;115000
27/09/18;114950;115010;114950;115050
27/09/18;115010;115090;115000;115110
27/09/18;115100;115070;115070;115140
27/09/18;115070;115060;115050;115120
27/09/18;115060;115050;115040;115070
27/09/18;115060;115060;115040;115080
27/09/18;115050;115140;115050;115140
27/09/18;115140;115090;115090;115170
27/09/18;115100;115050;115050;115140
27/09/18;115050;115130;115050;115150
27/09/18;115140;115150;115120;115210
27/09/18;115140;115120;115110;115170
27/09/18;115120;115090;115090;115140
27/09/18;115100;115060;115040;115100
27/09/18;115050;115070;115020;115090
27/09/18;115070;115070;115020;115070
27/09/18;115060;115030;115030;115060
27/09/18;115030;115070;115030;115100
27/09/18;115080;115080;115070;115110
27/09/18;115080;115050;115030;115120
27/09/18;115060;115180;115040;115200
27/09/18;115160;115240;115160;115280
27/09/18;115250;115210;115180;115250
27/09/18;115210;115250;115200;115260
27/09/18;115240;115250;115230;115320
27/09/18;115250;115250;115250;115280
27/09/18;115250;115230;115220;115250
27/09/18;115240;115250;115200;115250
27/09/18;115240;115250;115220;115280
27/09/18;115260;115220;115220;115280
27/09/18;115220;115250;115210;115260
27/09/18;115260;115290;115250;115300
27/09/18;115290;115330;115260;115350
27/09/18;115340;115330;115320;115390
27/09/18;115330;115350;115310;115360
27/09/18;115350;115330;115300;115370
27/09/18;115340;115330;115310;115360
27/09/18;115330;115310;115300;115370
27/09/18;115300;115320;115300;115350
27/09/18;115330;115330;115300;115350
27/09/18;115340;115380;115300;115380
27/09/18;115380;115570;115360;115640
27/09/18;115570;115650;115570;115670
27/09/18;115660;115620;115590;115680
27/09/18;115620;115600;115600;115650
27/09/18;115590;115610;115570;115640
27/09/18;115590;115570;115560;115630
27/09/18;115570;115560;115560;115600
27/09/18;115560;115550;115550;115600
27/09/18;115550;115550;115510;115550
27/09/18;115550;115600;115550;115620
27/09/18;115610;115570;115560;115610
27/09/18;115560;115600;115560;115600
27/09/18;115610;115580;115570;115640
27/09/18;115580;115480;115460;115580
27/09/18;115480;115490;115470;115500
27/09/18;115500;115510;115480;115530
27/09/18;115510;115460;115450;115530
27/09/18;115450;115440;115430;115480
27/09/18;115440;115510;115430;115520
27/09/18;115520;115490;115460;115520
27/09/18;115500;115540;115490;115580
27/09/18;115540;115560;115530;115590
27/09/18;115550;115590;115510;115590
27/09/18;115590;115690;115590;115740
27/09/18;115700;115700;115660;115710
27/09/18;115690;115600;115560;115700
27/09/18;115600;115490;115480;115630
27/09/18;115500;115470;115440;115520
27/09/18;115460;115440;115410;115490
27/09/18;115450;115500;115420;115500
27/09/18;115490;115470;115470;115510
27/09/18;115470;115450;115410;115480
27/09/18;115450;115440;115420;115470
27/09/18;115440;115390;115380;115460
27/09/18;115390;115350;115330;115390
27/09/18;115340;115280;115280;115370
27/09/18;115280;115290;115270;115350
27/09/18;115280;115250;115230;115290
27/09/18;115250;115250;115220;115260
